3M ESPE Adper™ Prompt™ / Adper™ Prompt™ L-Pop™ Self-Etch Adhesive[3M Deutschland GmbH],"1.  3M Deutschland GmbH 
       [3M Deutschland GmbH] Carl-Schurz-Straße 1, 41453 Neuss, GERMANY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Filtek™ Z250 Universal Restorative[3M ESPE],"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Filtek™ Z350 XT Universal Restorative[3M ESPE],"1.  3M ESPE Dental Products Division 
       [3M ESPE] 3M Center, Building 260-2A-11, St Paul, MN 55144-1000, UNITED STATES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeviceName,Model_0_No1,Model_0_ModelName1,Model_0_Identifier1,Model_0_PlaceofManufacture1,Model_1_No2,Model_1_ModelName2,Model_1_Identifier2,Model_1_PlaceofManufacture2,Model_2_No3,Model_2_ModelName3,Model_2_Identifier3,Model_2_PlaceofManufacture3,Model_3_No4,Model_3_ModelName4,Model_3_Identifier4,No1,ModelName1,Identifier1,No2,ModelName2,Identifier2,No3,ModelName3,Identifier3,No4,ModelName4,Identifier4,No5,ModelName5,Identifier5,No6,ModelName6,Identifier6,No7,ModelName7,Identifier7,No8,ModelName8,Identifier8,No9,ModelName9,Identifier9,Model_3_PlaceofManufacture4,Model_4_No5,Model_4_ModelName5,Model_4_Identifier5,Model_4_PlaceofManufacture5,Model_5_No6,Model_5_ModelName6,Model_5_Identifier6,Model_5_PlaceofManufacture6,Model_6_No7,Model_6_ModelName7,Model_6_Identifier7,Model_6_PlaceofManufacture7,Model_7_No8,Model_7_ModelName8,Model_7_Identifier8,Model_7_PlaceofManufacture8,Model_8_No9,Model_8_ModelName9,Model_8_Identifier9,Model_8_PlaceofManufacture9,Model_9_No10,Model_9_ModelName10,Model_9_Identifier10,Model_9_PlaceofManufacture10,Model_10_No11,Model_10_ModelName11,Model_10_Identifier11,Model_10_PlaceofManufacture11,Model_11_No12,Model_11_ModelName12,Model_11_Identifier12,Model_11_PlaceofManufacture12,Model_12_No13,Model_12_ModelName13,Model_12_Identifier13,Model_12_PlaceofManufacture13,Model_13_No14,Model_13_ModelName14,Model_13_Identifier14,Model_13_PlaceofManufacture14,Model_14_No15,Model_14_ModelName15,Model_14_Identifier15,Model_14_PlaceofManufacture15,Model_15_No16,Model_15_ModelName16,Model_15_Identifier16,Model_15_PlaceofManufacture16,Model_16_No17,Model_16_ModelName17,Model_16_Identifier17,Model_16_PlaceofManufacture17,Model_17_No18,Model_17_ModelName18,Model_17_Identifier18,Model_17_PlaceofManufacture18,Model_18_No19,Model_18_ModelName19,Model_18_Identifier19,Model_18_PlaceofManufacture19,Model_19_No20,Model_19_ModelName20,Model_19_Identifier20,Model_19_PlaceofManufacture20,Model_20_No21,Model_20_ModelName21,Model_20_Identifier21,Model_20_PlaceofManufacture21,Model_21_No22,Model_21_ModelName22,Model_21_Identifier22,Model_21_PlaceofManufacture22,Model_22_No23,Model_22_ModelName23,Model_22_Identifier23,Model_22_PlaceofManufacture23,Model_23_No24,Model_23_ModelName24,Model_23_Identifier24,Model_23_PlaceofManufacture24,Model_24_No25,Model_24_ModelName25,Model_24_Identifier25,Model_24_PlaceofManufacture25,Model_25_No26,Model_25_ModelName26,Model_25_Identifier26,Model_25_PlaceofManufacture26,Model_26_No27,Model_26_ModelName27,Model_26_Identifier27,Model_26_PlaceofManufacture27,Model_27_No28,Model_27_ModelName28,Model_27_Identifier28,Model_27_PlaceofManufacture28,Model_28_No29,Model_28_ModelName29,Model_28_Identifier29,Model_28_PlaceofManufacture29,Model_29_No30,Model_29_ModelName30,Model_29_Identifier30,Model_29_PlaceofManufacture30,Model_30_No31,Model_30_ModelName31,Model_30_Identifier31,Model_30_PlaceofManufacture31,Model_31_No32,Model_31_ModelName32,Model_31_Identifier32,Model_31_PlaceofManufacture32,Model_32_No33,Model_32_ModelName33,Model_32_Identifier33,Model_32_PlaceofManufacture33,Model_33_No34,Model_33_ModelName34,Model_33_Identifier34,Model_33_PlaceofManufacture34,Model_34_No35,Model_34_ModelName35,Model_34_Identifier35,Model_34_PlaceofManufacture35,Model_35_No36,Model_35_ModelName36,Model_35_Identifier36,Model_35_PlaceofManufacture36,Model_36_No37,Model_36_ModelName37,Model_36_Identifier37,Model_36_PlaceofManufacture37,Model_37_No38,Model_37_ModelName38,Model_37_Identifier38,Model_37_PlaceofManufacture38,Model_38_No39,Model_38_ModelName39,Model_38_Identifier39,Model_38_PlaceofManufacture39,Model_39_No40,Model_39_ModelName40,Model_39_Identifier40,Model_39_PlaceofManufacture40,Model_40_No41,Model_40_ModelName41,Model_40_Identifier41,Model_40_PlaceofManufacture41,Model_41_No42,Model_41_ModelName42,Model_41_Identifier42,Model_41_PlaceofManufacture42,Model_42_No43,Model_42_ModelName43,Model_42_Identifier43,Model_42_PlaceofManufacture43,Model_43_No44,Model_43_ModelName44,Model_43_Identifier44,Model_43_PlaceofManufacture44,Model_44_No45,Model_44_ModelName45,Model_44_Identifier45,Model_44_PlaceofManufacture45,Model_45_No46,Model_45_ModelName46,Model_45_Identifier46,Model_45_PlaceofManufacture46,Model_46_No47,Model_46_ModelName47,Model_46_Identifier47,Model_46_PlaceofManufacture47,Model_47_No48,Model_47_ModelName48,Model_47_Identifier48,Model_47_PlaceofManufacture48,Model_48_No49,Model_48_ModelName49,Model_48_Identifier49,Model_48_PlaceofManufacture49,Model_49_No50,Model_49_ModelName50,Model_49_Identifier50,Model_49_PlaceofManufacture50,Model_50_No51,Model_50_ModelName51,Model_50_Identifier51,Model_50_PlaceofManufacture51,Model_51_No52,Model_51_ModelName52,Model_51_Identifier52,Model_51_PlaceofManufacture52,Model_52_No53,Model_52_ModelName53,Model_52_Identifier53,Model_52_PlaceofManufacture53,Model_53_No54,Model_53_ModelName54,Model_53_Identifier54,Model_53_PlaceofManufacture54,Model_54_No55,Model_54_ModelName55,Model_54_Identifier55,Model_54_PlaceofManufacture55,Model_55_No56,Model_55_ModelName56,Model_55_Identifier56,Model_55_PlaceofManufacture56,Model_56_No57,Model_56_ModelName57,Model_56_Identifier57,Model_56_PlaceofManufacture57,Model_57_No58,Model_57_ModelName58,Model_57_Identifier58,Model_57_PlaceofManufacture58,Model_58_No59,Model_58_ModelName59,Model_58_Identifier59,Model_58_PlaceofManufacture59,Model_59_No60,Model_59_ModelName60,Model_59_Identifier60,Model_59_PlaceofManufacture60,Model_60_No61,Model_60_ModelName61,Model_60_Identifier61,Model_60_PlaceofManufacture61,Model_61_No62,Model_61_ModelName62,Model_61_Identifier62,Model_61_PlaceofManufacture62,Model_62_No63,Model_62_ModelName63,Model_62_Identifier63,Model_62_PlaceofManufacture63,Model_63_No64,Model_63_ModelName64,Model_63_Identifier64,Model_63_PlaceofManufacture64,Model_64_No65,Model_64_ModelName65,Model_64_Identifier65,Model_64_PlaceofManufacture65,Model_65_No66,Model_65_ModelName66,Model_65_Identifier66,Model_65_PlaceofManufacture66,Model_66_No67,Model_66_ModelName67,Model_66_Identifier67,Model_66_PlaceofManufacture67,Model_67_No68,Model_67_ModelName68,Model_67_Identifier68,Model_67_PlaceofManufacture68,Model_68_No69,Model_68_ModelName69,Model_68_Identifier69,Model_68_PlaceofManufacture69,Model_69_No70,Model_69_ModelName70,Model_69_Identifier70,Model_69_PlaceofManufacture70,Model_70_No71,Model_70_ModelName71,Model_70_Identifier71,Model_70_PlaceofManufacture71,Model_71_No72,Model_71_ModelName72,Model_71_Identifier72,Model_71_PlaceofManufacture72,Model_72_No73,Model_72_ModelName73,Model_72_Identifier73,Model_72_PlaceofManufacture73,Model_73_No74,Model_73_ModelName74,Model_73_Identifier74,Model_73_PlaceofManufacture74,Model_74_No75,Model_74_ModelName75,Model_74_Identifier75,Model_74_PlaceofManufacture75,Model_75_No76,Model_75_ModelName76,Model_75_Identifier76,Model_75_PlaceofManufacture76,Model_76_No77,Model_76_ModelName77,Model_76_Identifier77,Model_76_PlaceofManufacture77,Model_77_No78,Model_77_ModelName78,Model_77_Identifier78,Model_77_PlaceofManufacture78,Model_78_No79,Model_78_ModelName79,Model_78_Identifier79,Model_78_PlaceofManufacture79,Model_79_No80,Model_79_ModelName80,Model_79_Identifier80,Model_79_PlaceofManufacture80,Model_80_No81,Model_80_ModelName81,Model_80_Identifier81,Model_80_PlaceofManufacture81,Model_81_No82,Model_81_ModelName82,Model_81_Identifier82,Model_81_PlaceofManufacture82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stQ AddOn Intraocular Lens (Spherical)[1stQ GmbH],1,AddOn hydrophilic spheric (-10.0D to +10.0D),A4SW00,"GERMANY, HUNGARY",2,"AddOn hydrophilic progressive (0.0D), with near vision Add. +3.00D",A4DW0M,"GERMANY, HUNGARY",3,"AddOn hydrophilic progressive (-5.0D to -0.5D / +0.5D to +5.0D),  with near vision Add. +3.00D",A4EW0M,"GERMANY, HUNGARY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1stQ AddOn Intraocular Lens (Toric)[1stQ GmbH],1,"AddOn hydrophilic toric (SEQ -10.0D to +10.0D, CYL +1.0D to +4.5D",A4FW0T,"GERMANY, HUNGARY",2,"AddOn hydrophilic toric (SEQ -10.0D to +10.0D, CYL +5.25D to +11.0D)",A4FW00,"GERMANY, HUNGARY",3,"AddOn hydrophilic toric (SEQ 0.0D, CYL +1.0D to +4.5D)",A4TW0T,"GERMANY, HUNGARY",4,"AddOn hydrophilic toric (SEQ 0.0D, CYL +5.25D to +11.0D)",A4TW00,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GERMANY, HUNGARY",5,"AddOn hydrophilic progressive toric (SEQ: -3.0D to +3.0D, CYL +1.0D to +4.5D), with near vision Add. +3.00D",A4HW0M,"GERMANY, HUNGARY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-D Matrix PuraStat®Absorbable Haemostat[3-D Matrix Europe SAS],1,Purastat 1ml,621-013,"JAPAN, CHINA, FRANCE",2,Purastat 3ml,621-014,"JAPAN, CHINA, FRANCE",3,Purastat 5ml,621-015,"JAPAN, CHINA, FRANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3A Health Care OMRON Compressor Nebulizer with Nasal Aspirator[3A HEALTH CARE S.r.l.],1,OMRON Compressor Nebulizer with Nasal Aspirator,DuoBaby (NE-C301-AP),ITALY,2,DuoBaby Nebulizer accessory set,NEB2012,ITALY,3,DuoBaby Aspirator accessory set,NEB7000,ITALY,4,Air Filter set,3AC408,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITALY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Bair Hugger™ Temperature Monitoring System[3M Company],1,3M™ Bair Hugger™ Temperature Montioring System Sensors,36000,UNITED STATES,2,3M™ Bair Hugger™ Temperature Montioring System Control Unit,37000,UNITED STATES,3,"3M™ Bair Hugger™ Temperature Monitoring Cable, 3.5-6mm",90107,UNITED STATES,4,"3M™ Bair Hugger™ Temperature Monitoring Cable, 3.5-3.5mm",90108,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNITED STATES,5,3M™ Bair Hugger™ Temperature Montioring System Control Unit,37007,UNITED STATES,6,"3M™ Bair Hugger™ Temperature Monitoring Cable, Phillips™ Mindray™ Compatible",90130,CHINA,7,"3M™ Bair Hugger™ Temperature Monitoring Cable, GE™ Compatible",90131,CHINA,8,"3M™ Bair Hugger™ Temperature Monitoring Cable, Draeger™ Compatible",90132,CHINA,9,"3M™ Bair Hugger™ Temperature Monitoring Cable, Spacelabs™ Compatible",90133,CHINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE RelyX U200 Automix[3M Deutschland GmbH],1,RelyX Fiber Post / RelyX U200 Automix,56911,-,2,"1 x 8.5 g syringe, colour shade: Translucent (refill)",56897,-,3,"1 x 8.5 g syringe, colour shade: A2 Universal (refill)",56895,-,4,"1 x 8.5 g syringe, colour shade: A3 Opaque (refill)",56896,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,5,RelyX U200 Automix Tips,56913,-,6,RelyX U200 Automix Tips,56914,-,7,RelyX U200 Automix Tips,56917,-,8,"3g trial syringe, colour shade: A2 Universal",56912,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M ESPE Lava™ Frame Zirconia Mill Blanks[3M Deutschland GmbH],1,Lava™ Frame Zirconia Mill Blanks,68583,GERMANY,2,Lava™ Frame Zirconia Mill Blanks,68593,GERMANY,3,Lava™ Frame Zirconia Mill Blanks,68581,GERMANY,4,Lava™ Frame Zirconia Mill Blanks,68582,,,,,,,,,,,,,,,,,,,,,,,,,,,,GERMANY,5,Lava™ Frame Zirconia Mill Blanks,68591,GERMANY,6,Lava™ Frame Zirconia Mill Blanks,68592,GERMANY,7,Lava™ Frame Shade Dyeing Liquid,68574,GERMANY,8,Lava™ Frame Shade Dyeing Liquid,68575,GERMANY,9,Lava™ Frame Shade Dyeing Liquid,68576,GERMANY,10,Lava™ Frame Shade Dyeing Liquid,68577,GERMANY,11,Lava™ Frame Shade Dyeing Liquid,68578,GERMANY,12,Lava™ Frame Shade Dyeing Liquid,68579,GERMANY,13,Lava™ Frame Shade Dyeing Liquid,68580,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
