Labname,LicenseeName,LicencePeriod,HCICode,UEN,Tel,Fax,Adress,LaboratoryManager,SpecialTests,Url,warning,error
EUROFINS CENTRAL LABORATORY PTE. LTD.,Teo Gek Choo Jennifer,"30/09/2020to
									29/09/2022 
										
										
											[ 2 Years ]",20I0281,200613385G,65623858,"63047389
								 ","1
						INTERNATIONAL BUSINESS PARK
						
							THE SYNERGY
							
						
						#01-16
						Singapore 609917",Teo Gek Choo Jennifer,Human Immunodeficiency Virus (HIV) Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=47356,,
EUROFINS CLINICAL DIAGNOSTICS PTE LTD,Teo Gek Choo Jennifer,"16/04/2020to
									15/04/2022 
										
										
											[ 2 Years ]",20I0112,201920897Z,67978899,"67978897
								 ","1
						INTERNATIONAL BUSINESS PARK
						
							THE SYNERGY
							
						
						#03-17
						Singapore 609917",Yeung Pok,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=47201,,
EXPRESS MEDICAL X-RAY LABORATORY,OON CHONG LIN,"10/07/2020to
									09/07/2021 
										
										
											[ 1 Year ]",15X0145,200705815H,62955333,"62934423
								 ","640
						ROWELL ROAD
						
						#01-56
						Singapore 200640",MARIBEL BALDEROSA LUCES,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=45023,,
FEM SURGERY @ MACPHERSON,Khor Lih Kin,"07/02/2021to
									06/02/2023 
										
										
											[ 2 Years ]",19X0033,201225325M,62830950,"62830951
								 ","401
						MACPHERSON ROAD
						
							MACPHERSON MALL
							
						
						#03-09/10
						Singapore 368125",ZAINAH BINTE NAWABI,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=46795,,
"FORENSIC MEDICINE DIVISION, HEALTH SCIENCES AUTHORITY",CHUI PENG SUN PAUL,"13/11/2020to
									12/11/2022 
										
										
											[ 2 Years ]",9700208,T08GB0015G,63266027,"62250217
								 ","11
						OUTRAM ROAD
						
						
						Singapore 169078",CHUI PENG SUN PAUL,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=35030,,
FULLERTON HEALTH @ NTU IMAGING CENTRE,LAU CHIN WAH,"01/08/2020to
									31/07/2022 
										
										
											[ 2 Years ]",20X0212,199800866K,67936828,"66725688
								 ","BLK 
					   
						36
						NANYANG AVENUE
						
						#01-01/02
						Singapore 639801",Anuran Blesyl Jaurigue,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=47262,,
FULLERTON HEALTH @ PASIR PANJANG IMAGING CENTRE,Eng Chee Way,"08/11/2020to
									07/11/2022 
										
										
											[ 2 Years ]",16X0346,198004250R,3333636,"66725688
								 ","3
						HARBOUR DRIVE GROUND LEVEL,
						
							 PASIR PANJANG TERMINAL BUILDING 3
							
						
						
						Singapore 117404",Leny Grace A. Alday,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=45668,,
FULLERTON HEALTHCARE @ 78 SHENTON WAY IMAGING CENTRE,Lee Chin Hwee,"24/11/2020to
									23/11/2022 
										
										
											[ 2 Years ]",18X0349,201020358N,63333636,"63333636
								 ","78
						SHENTON WAY
						
						#04-01
						Singapore 079120",Sheryl Palen Rico,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=46725,,
FULLERTON HEALTHCARE @ DRS TRYTHALL HOY DAVIS IMAGING CENTRE,Eng Chee Way,"07/03/2021to
									06/03/2023 
										
										
											[ 2 Years ]",16X0054,197700681W,63333636,"68365542
								 ","391B
						ORCHARD ROAD
						
							NGEE ANN CITY TOWER B
							
						
						#25-01/07/08 
						Singapore 238874",MOHAMED RIDHWAN BIN HASHIM,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=45377,,
FULLERTON HEALTHCARE @ NAC26 IMAGING CENTRE,Eng Chee Way,"24/11/2020to
									23/11/2022 
										
										
											[ 2 Years ]",18X0348,201020358N,63333636,"63333636
								 ","391B
						ORCHARD ROAD
						
							NGEE ANN CITY TOWER B
							
						
						#26-02
						Singapore 238874",Anuran Blesyl Jaurigue,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=46724,,
FULLERTON HEALTHCARE @ OFC IMAGING CENTRE,Gi Ming Tye,"16/03/2020to
									15/03/2025 
										
										
											[ 5 Years ]",16X0064,199800866K,66725000,"65344165
								 ","10
						COLLYER QUAY
						
							OCEAN FINANCIAL CENTRE
							
						
						#03-08/09
						Singapore 049315",Glean Anna Marie Sotomayor,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=MyYHt2TJe29TSuvBE3ZC2dmciWTZQz8bHsD_ebuzTtudBSo7I0X-!-2119202606!-858717092&task=view&toBack=search&pkId=45387,,
FUSION IMAGING CENTRE,Damodharan Karthikeyan,"24/04/2021to
									23/04/2023 
										
										
											[ 2 Years ]",17X0112,201524000D,62506548,"62506548
								 ","1
						FUSIONOPOLIS LINK
						
							NEXUS @ONE-NORTH
							
						
						#01-05
						Singapore 138542",Damodharan Karthikeyan,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45829,,
FUSION IMAGING CENTRE @ WHEELOCK,Ng Hweena,"16/10/2019to
									15/10/2021 
										
										
											[ 2 Years ]",17X0322,201632591K,62351512,"62351526
								 ","501
						ORCHARD ROAD
						
							WHEELOCK PLACE
							
						
						#04-11
						Singapore 238880",Ng Hweena,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46041,,
HEALTHWAY RADIOLOGY,Ng Keng Sin,"09/12/2019to
									08/12/2021 
										
										
											[ 2 Years ]",19X0165,199400795H,67330355,"67335951
								 ","6A
						SHENTON WAY
						
							DOWNTOWN GALLERY
							
						
						#03-11/12/13
						Singapore 068815",Maria Socorro Medina Dela Cruz,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46926,,
"HOME TEAM SCIENCE & TECHNOLOGY AGENCY, HTX",Koh Tse Hsien,"26/08/2020to
									25/08/2022 
										
										
											[ 2 Years ]",20I0182,T19GB0001D,67779526,"67770584
								 ","21
						HARBOUR DRIVE
						
						#01-01A/03A, #02-03A
						Singapore 117502",Sim Heng Chiak James,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=47287,,
ICON LABORATORY SERVICES,Aw Tar Choon,"29/06/2019to
									28/06/2021 
										
										
											[ 2 Years ]",9700217,T09CL0001B,68958270,"65420875
								 ","BLK 
					   
						30
						LOYANG WAY
						
						#02-13/14/15
						Singapore 508769",NG SU PENG,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=36180,,
IGENE LABORATORY PRIVATE LIMITED,Mahesh Arjandas Choolani,"15/08/2019to
									14/08/2021 
										
										
											[ 2 Years ]",17I0382,201423947C,67730698,"62485878
								 ","1
						SCIENCE PARK ROAD
						
							THE CAPRICORN
							
						
						#04-10
						Singapore 117528",Sherry Ho,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46107,,
INNOQUEST DIAGNOSTICS PTE LTD,Tan Hong Wui,"11/05/2021to
									10/05/2023 
										
										
											[ 2 Years ]",9700181,199600742Z,62755501,"62770236
								 ","67
						Ubi Avenue 1
						
							Starhub Green, North Wing
							
						
						#07-01 to 07, 09 & 10
						Singapore 408942",Lee Kum Mun,Acid-Fast Bacilli (Smear) TestBlood Group ABO and Rhesus (D) Type TestsHuman Immunodeficiency Virus (HIV) TestMalaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=33880,,
INNOQUEST DIAGNOSTICS PTE LTD,Tan Hong Wui,"29/05/2021to
									28/05/2023 
										
										
											[ 2 Years ]",9700230,199600742Z,67372788,"68873249
								 ","290
						ORCHARD ROAD
						
							THE PARAGON
							
						
						#17-07/08/09
						Singapore 238859",Yap Kwee Chuah,Blood Group ABO and Rhesus (D) Type TestsHuman Immunodeficiency Virus (HIV) TestMalaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=36982,,
INNOQUEST DIAGNOSTICS PTE LTD,Tan Hong Wui,"03/03/2021to
									20/11/2025 
										
										
											[ 5 Years ]",11I0002,199600742Z,63336640,"63336642
								 ","1
						ORCHARD BOULEVARD
						
							CAMDEN MEDICAL CENTRE
							
						
						#09-06/07
						Singapore 248649",Yap Kwee Chuah,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=40451,,
INNOQUEST DIAGNOSTICS PTE LTD,Tan Hong Wui,"03/03/2021to
									17/11/2022 
										
										
											[ 2 Years ]",17I0135,199600742Z,62356950,"67338563
								 ","15
						JALAN KILANG BARAT
						
							FRONTECH CENTRE
							
						
						#05-01 to 07
						Singapore 159357",Yap Kwee Chuah,Acid-Fast Bacilli (Smear) TestBlood Group ABO and Rhesus (D) Type TestsHuman Immunodeficiency Virus (HIV) TestMalaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45864,,
INNOQUEST DIAGNOSTICS PTE LTD,Tan Hong Wui,"03/03/2021to
									20/11/2022 
										
										
											[ 2 Years ]",18I0082,199600742Z,67340778,"67340773
								 ","101
						IRRAWADDY ROAD
						
							ROYAL SQUARE AT NOVENA
							
						
						#07-02
						Singapore 329565",Yap Kwee Chuah,Blood Group ABO and Rhesus (D) Type TestsHuman Immunodeficiency Virus (HIV) Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46352,,
INNOQUEST DIAGNOSTICS PTE LTD,Tan Hong Wui,"03/03/2021to
									06/12/2022 
										
										
											[ 2 Years ]",20I0207,199600742Z,62356950,"67338563
								 ","15
						JALAN KILANG BARAT
						
							FRONTECH CENTRE
							
						
						#08-01/02/03/04/05
						Singapore 159357",Yap Kwee Chuah,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=47255,,
JAS X-RAY CENTRE,Lim Boon Keat,"12/04/2020to
									11/04/2022 
										
										
											[ 2 Years ]",18X0103,200921954C,67416700,"64916597
								 ","67
						LORONG 27 GEYLANG
						
						
						Singapore 388189",RANDY QUINTO VINLUAN,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46436,,
JGH IMAGING SERVICES @ MAIN CLINIC,SWEE AH SIAK,"31/05/2020to
									30/05/2022 
										
										
											[ 2 Years ]",16X0163,198202313G,67348871,"62387348
								 ","290
						ORCHARD ROAD
						
							THE PARAGON
							
						
						#10-01
						Singapore 238859",SWEE AH SIAK,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45485,,
JMC RADIOLOGY,Yeong Kuan Yuen,"03/08/2020to
									02/08/2022 
										
										
											[ 2 Years ]",12X0004,53072426W,65517600,"65517880
								 ","60
						JURONG WEST CENTRAL 3 LEVEL 1
						
						
						Singapore 648346",Leow Yeong Chean,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=42240,,
JURONG IMAGING CENTRE,Ng Chin Wee Eugene,"15/03/2021to
									14/03/2026 
										
										
											[ 5 Years ]",15X0319,201110007C,65701390,"67900201
								 ","1
						JURONG WEST CENTRAL 2 JP1
						
							JURONG POINT SHOPPING CENTRE
							
						
						#B1-19E
						Singapore 648886",TAN TEOW HWEE VINCENT,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45199,,
KEAT HONG FAMILY MEDICINE CLINIC,Thian Yee Liang,"15/09/2020to
									14/09/2022 
										
										
											[ 2 Years ]",20X0262,201630212D,67690750,"67692390
								 ","2
						CHOA CHU KANG LOOP
						
							Keat Hong Community Club
							
						
						#03-02
						Singapore 689687",MELATI DEWI BINTE ALI,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=47321,,
LIFESCAN IMAGING,John Huang Yung Shui,"24/11/2020to
									23/11/2021 
										
										
											[ 1 Year ]",9700233,53155557K,62951000,"62353240
								 ","290
						ORCHARD ROAD
						
							PARAGON
							
						
						#07-18/19/20
						Singapore 238859",John Huang Yung Shui,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=37342,,
LIFESCAN IMAGING,Anthony Joseph Stanley,"24/11/2020to
									23/11/2022 
										
										
											[ 2 Years ]",14X0316,201225107Z,62951000,"63976404
								 ","10
						SINARAN DRIVE
						
							NOVENA MEDICAL CENTER 
							
						
						#08-02 to 04
						Singapore 307506",Anthony Joseph Stanley,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=44797,,
LUCENCE DIAGNOSTICS PTE LTD,Tan Min-Han,"03/12/2020to
									02/12/2022 
										
										
											[ 2 Years ]",17I0039,201605840N,69090390,"67250590
								 ","211
						HENDERSON ROAD
						
							211 HENDERSON
							
						
						#04-01/02
						Singapore 159552",Tan Min-Han,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45756,,
LUMA WOMEN'S IMAGING CENTRE,Ong Mun Wai Eugene,"18/02/2021to
									17/02/2023 
										
										
											[ 2 Years ]",21X0079,202008957K,68162099,"64915544
								 ","101
						IRRAWADDY ROAD
						
							ROYAL SQUARE MEDICAL CENTRE
							
						
						#12-01 to 06
						Singapore 329565",Ong Mun Wai Eugene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=47532,,
MAI PHA RADIOLOGY,Paramesvaran Kumarasamy,"30/09/2020to
									29/09/2022 
										
										
											[ 2 Years ]",20X0279,202018503D,,"81331004
								 ","BLK 
					   
						428
						JURONG WEST AVENUE 1
						
						#01-244
						Singapore 640428",Paramesvaran Kumarasamy,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=47354,,
MCR RADIOLOGY CENTRE,Chong Chia Li Clarisse,"07/10/2020to
									06/10/2022 
										
										
											[ 2 Years ]",15X0086,201430682D,63919220,"63919230
								 ","BLK 
					   
						633
						VEERASAMY ROAD
						
						#01-118
						Singapore 200633",Ken Yi Cheng Wu,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=44964,,
MEDIWAY X-RAY CENTRE,Cheong Wing Yee Mrs. Wang Wing Yee,"18/01/2021to
									17/01/2023 
										
										
											[ 2 Years ]",17X0008,201624666R,69090190,"69090189
								 ","1
						SOPHIA ROAD
						
							PEACE CENTRE
							
						
						#04-21
						Singapore 228149",Siti Aishah Binti Jumaat,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45726,,
MHC IMAGING CENTRE (AMARA),KHO KWANG MUI,"10/09/2019to
									09/09/2021 
										
										
											[ 2 Years ]",15X0308,199606979C,62255220,"62255426
								 ","100
						TRAS STREET 100 AM
						
						#15-01/02/03
						Singapore 079027",FAELDOG RUBELEN ATILANO,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45188,,
MINDEF FORWARD DEPLOYMENT LABORATORY 1,Lui Sook Yin,"01/03/2021to
									28/02/2023 
										
										
											[ 2 Years ]",20I0187,199701777M,64857106,"67759011
								 ","10
						AIRPORT BOULEVARD
						
							CHANGI AIRPORT TERMINAL 4 CARPARK 4B LEVEL 3
							
						
						
						Singapore 819665",K. Kalaichelvi,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=47234,,
MINMED RADIOLOGY,Lim Boon Keat,"04/04/2020to
									03/04/2022 
										
										
											[ 2 Years ]",18X0094,201432854H,63399339,"62351965
								 ","290
						ORCHARD ROAD
						
							THE PARAGON
							
						
						#16-09/10
						Singapore 238859",Alday Marivic Mendoza Mrs Ayensa Marivic,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46387,,
ML'VE MEDICAL DIAGNOSTIC SUITE,Tan Eik Hock Andrew,"27/08/2020to
									26/08/2022 
										
										
											[ 2 Years ]",16X0244,201129909Z,65702260,"65702261
								 ","8
						SINARAN DRIVE
						
							Novena Specialist Centre
							
						
						#07-10/11
						Singapore 307470",Tan Eik Hock Andrew,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45566,,
MOLECULAR LABORATORY,James Frederick Kent Mancer,"12/05/2021to
									11/05/2023 
										
										
											[ 2 Years ]",17I0136,201601442M,63362050,"62203718
								 ","115
						EUNOS AVENUE 3
						
							ZHAOLIM BUILDING
							
						
						#05-01
						Singapore 409839",JAMES FREDERICK KENT MANCER,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=45853,,
MWH CENTRE FOR MEDICAL IMAGING,Lim Puay Joo,"14/08/2020to
									13/08/2022 
										
										
											[ 2 Years ]",18X0228,200500331H,69318000,"69501358
								 ","101
						IRRAWADDY ROAD
						
							Royal Square Novena
							
						
						#07-01
						Singapore 329565",Lim Puay Joo,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=46586,,
NATIONAL SKIN CENTRE CLINICAL LABORATORY,Tan Suat Hoon,"04/12/2019to
									03/12/2021 
										
										
											[ 2 Years ]",14I0149,198801862W,63508581,"62533225
								 ","1
						MANDALAY ROAD
						
						
						Singapore 308205",LEE SAU CHUEN,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=44626,,
NEOGENOMICS SINGAPORE PTE. LTD.,Hawkins Robert Charles William,"15/10/2019to
									14/10/2021 
										
										
											[ 2 Years ]",19I0279,201825347C,69115201,"12394325601
								 ","61
						SCIENCE PARK ROAD
						
							THE GALEN
							
						
						#02-11
						Singapore 117525",Hawkins Robert Charles William,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=47039,,
NEUROMUSCULAR LABORATORY,"CHAI YUI HUEI, JOSIAH","15/07/2020to
									14/07/2025 
										
										
											[ 5 Years ]",9700243,199801559D,63577153,"63577108
								 ","11
						JALAN TAN TOCK SENG
						
						#02-00
						Singapore 308433","CHAI YUI HUEI, JOSIAH",,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=38630,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, ANG MO KIO POLYCLINIC",Wong Moh Sim,"29/01/2020to
									28/01/2025 
										
										
											[ 5 Years ]",9700136,52936325M,63553000,"67537162
								 ","21
						ANG MO KIO CENTRAL 2
						
						
						Singapore 569666",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1120,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, ANG MO KIO-THYE HUA KWAN HOSPITAL LTD",HAWKINS ROBERT CHARLES WILLIAM,"27/12/2019to
									26/12/2024 
										
										
											[ 5 Years ]",9700162,T07CL0162J,64966633,"64542618
								 ","17
						Ang Mo Kio Ave 9
						
						
						Singapore 569766",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1130,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, BUANGKOK GREEN MEDICAL PARK",ROBERT HAWKINS,"01/09/2020to
									31/08/2025 
										
										
											[ 5 Years ]",9700152,52936325M,64966633,"63892982
								 ","10
						BUANGKOK VIEW
						
						
						Singapore 539747",Kho Siok Wah Serene,Human Immunodeficiency Virus (HIV) TestMalaria Parasite Test,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1180,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, BUKIT BATOK POLYCLINIC",SUNIL KUMAR SETHI,"01/04/2018to
									31/03/2023 
										
										
											[ 5 Years ]",9700126,T08CL0126L,66636847,"65646740
								 ","50
						BUKIT BATOK WEST AVE 3
						
						
						Singapore 659164",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1140,,
"NHG DIAGNOSTICS - CLINICAL LABORATORY, CLEMENTI POLYCLINIC",SUNIL KUMAR SETHI,"02/04/2019to
									01/04/2024 
										
										
											[ 5 Years ]",9700111,52936325M,66636847,"67751615
								 ","BLK 
					   
						451
						CLEMENTI AVE 3
						
						#02-307
						Singapore 120451",Kho Siok Wah Serene,,http://www.hcidirectory.gov.sg/hcidirectory/laboratory.do?JSESSIONID=17ULiszK8Kff3Ncr21qKSlt6pwFmpot73rtIXzpST_3wCAFt-iI6!-2119202606!-858717092&task=view&toBack=search&pkId=1160,,
